Reference ID;Client Operation id;Method;Operation State;Status;Initial Amount;Initial Currency;Charged Amount;Charged Currency
019814b5a5317aa89af66d8227a0e343;43440010093892;apm;complete;fail;4025;TRY;0;
019814aff4a4702d89d8983d3c5b8dcd;98787010177232;apm;complete;fail;4025;TRY;0;
019814a7fada75b284e13407faffdd35;86404010177182;apm;complete;fail;403;TRY;0;
019814a5e7e37290a86dd7f751f828f0;5008833010210814;apm;complete;fail;443;TRY;0;
019814a37d1e7204a72174ee6c71e3f0;5022996010216674;apm;complete;fail;403;TRY;0;
019814a05a2e733e907c6166e20264bd;5022447010213954;apm;complete;fail;443;TRY;0;
01981485d2587f0e9dfe6e28cceeaf8c;5008223010210614;apm;complete;fail;300;TRY;0;
0198147b5c1b7a0db0e757ed57fbf490;5713010145752;apm;complete;fail;300;TRY;0;
019814772fb9704481629c419de7ac3e;14058010132802;apm;complete;fail;300;TRY;0;
01981466cb82737b880b4a14e68fa342;5022784010216734;apm;complete;fail;2020;TRY;0;
0198145c14617b1cab55bc1443ff2810;58406010166342;apm;complete;fail;300;TRY;0;
0198145bc0c97c019d94883702645230;5006034010210644;apm;complete;fail;300;TRY;0;
0198145b93ea79a4a83b7ab19824a6b4;71072010142582;apm;complete;fail;2020;TRY;0;
0198145abc177b289ab5951bf0710b64;69823010122042;apm;complete;fail;958;TRY;0;
0198145994247c9686a8addf95d397f4;5106010144412;apm;complete;fail;417;TRY;0;
01981457bf327f0b819506241f5902f2;28420010148622;apm;complete;fail;300;TRY;0;
0198144d035a78b69cfd26dc7fc5f5ee;5035094010215684;apm;complete;fail;500;TRY;0;
0198144967fc75c28f5ca65bc0e9daec;5005109010212324;apm;complete;fail;500;TRY;0;
019814492efd72469a17bf1d483be1f9;99031010178062;apm;complete;fail;417;TRY;0;
019814477f3f7fab8627c71a8f9dbaa2;23267010146312;apm;complete;fail;10000;TRY;0;
019814475fb0773daa7baf9ee60971b1;28526010146702;apm;complete;fail;500;TRY;0;
